08868: Fangst, etter år, landingskommune, fangstart og statistikkvariabel;;;;
;;;;
år;landingskommune;fangstart;Mengde (tonn);Verdi (1 000 kr)
2000;0000 Alle kommuner;Fisk i alt;3023876;12414880
2000;0000 Alle kommuner;Pelagisk fisk;2217458;3936228
2000;0000 Alle kommuner;Torsk og torskeartar;627951;6377065
2000;0000 Alle kommuner;Flatfisk og botnfisk;74203;774721
2000;0000 Alle kommuner;Djupvassfisk;2834;15856
2000;0000 Alle kommuner;Andre skaldyr og blautdyr;95187;1286423
2000;0000 Alle kommuner;Annan fisk, uspesifisert;6244;24587
2000;Utl Utlandet;Fisk i alt;222028;473685
2000;Utl Utlandet;Pelagisk fisk;208518;252146
2000;Utl Utlandet;Torsk og torskeartar;6054;44478
2000;Utl Utlandet;Flatfisk og botnfisk;2388;46508
2000;Utl Utlandet;Djupvassfisk;34;349
2000;Utl Utlandet;Andre skaldyr og blautdyr;4769;128618
2000;Utl Utlandet;Annan fisk, uspesifisert;265;1588
2000;0101 Halden (-2019);Fisk i alt;:;:
2000;0101 Halden (-2019);Pelagisk fisk;0;0
2000;0101 Halden (-2019);Torsk og torskeartar;0;0
2000;0101 Halden (-2019);Flatfisk og botnfisk;0;0
2000;0101 Halden (-2019);Djupvassfisk;0;0
2000;0101 Halden (-2019);Andre skaldyr og blautdyr;0;0
2000;0101 Halden (-2019);Annan fisk, uspesifisert;:;:
2000;0102 Sarpsborg (-1991);Fisk i alt;0;0
2000;0102 Sarpsborg (-1991);Pelagisk fisk;0;0
2000;0102 Sarpsborg (-1991);Torsk og torskeartar;0;0
2000;0102 Sarpsborg (-1991);Flatfisk og botnfisk;0;0
2000;0102 Sarpsborg (-1991);Djupvassfisk;0;0
2000;0102 Sarpsborg (-1991);Andre skaldyr og blautdyr;0;0
2000;0102 Sarpsborg (-1991);Annan fisk, uspesifisert;0;0
2000;0103 Fredrikstad (-1993);Fisk i alt;0;0
2000;0103 Fredrikstad (-1993);Pelagisk fisk;0;0
2000;0103 Fredrikstad (-1993);Torsk og torskeartar;0;0
2000;0103 Fredrikstad (-1993);Flatfisk og botnfisk;0;0
2000;0103 Fredrikstad (-1993);Djupvassfisk;0;0
2000;0103 Fredrikstad (-1993);Andre skaldyr og blautdyr;0;0
2000;0103 Fredrikstad (-1993);Annan fisk, uspesifisert;0;0
2000;0104 Moss (-2019);Fisk i alt;20;502
2000;0104 Moss (-2019);Pelagisk fisk;1;31
2000;0104 Moss (-2019);Torsk og torskeartar;14;301
2000;0104 Moss (-2019);Flatfisk og botnfisk;4;138
2000;0104 Moss (-2019);Djupvassfisk;0;0
2000;0104 Moss (-2019);Andre skaldyr og blautdyr;0;24
2000;0104 Moss (-2019);Annan fisk, uspesifisert;0;7
2000;0105 Sarpsborg (1992-2019);Fisk i alt;0;0
2000;0105 Sarpsborg (1992-2019);Pelagisk fisk;0;0
2000;0105 Sarpsborg (1992-2019);Torsk og torskeartar;0;0
